Session_ID,User_ID,Device,Region,Channel,Product_Category,Event_Order,Max_Event,Session_Start
SES00071,USR00071,Tablet,South,Social Media,Sports,2,Add to Cart,2025-10-16 17:53:10
SES00072,USR00072,Tablet,North,Email,Fashion,4,Purchase,2025-10-12 22:47:11
SES00073,USR00073,Desktop,North,Organic,Home,1,Browse,2025-10-02 02:53:14
SES00074,USR00074,Desktop,South,Email,Home,3,Checkout,2025-10-31 09:48:16
SES00075,USR00075,Desktop,West,Google Ads,Beauty,2,Add to Cart,2025-10-19 15:37:20
SES00076,USR00076,Mobile,West,Social Media,Home,3,Checkout,2025-10-26 22:20:57
SES00077,USR00077,Mobile,North,Organic,Fashion,2,Add to Cart,2025-10-07 10:52:27
SES00078,USR00078,Mobile,North,Social Media,Home,2,Add to Cart,2025-10-20 03:35:12
SES00079,USR00079,Mobile,South,Google Ads,Fashion,1,Browse,2025-10-17 05:29:15
SES00080,USR00080,Mobile,North,Organic,Sports,2,Add to Cart,2025-10-17 08:52:36
SES00081,USR00081,Tablet,East,Social Media,Fashion,3,Checkout,2025-10-22 10:06:06
SES00082,USR00082,Mobile,West,Organic,Fashion,2,Add to Cart,2025-10-06 14:39:56
SES00083,USR00083,Mobile,East,Social Media,Electronics,3,Checkout,2025-10-16 23:48:29
SES00084,USR00084,Desktop,North,Social Media,Fashion,3,Checkout,2025-10-09 08:54:58
SES00085,USR00085,Tablet,South,Organic,Electronics,3,Checkout,2025-10-12 15:26:38
SES00086,USR00086,Mobile,West,Organic,Fashion,1,Browse,2025-10-29 09:16:35
SES00087,USR00087,Mobile,South,Google Ads,Fashion,3,Checkout,2025-10-29 14:58:55
SES00088,USR00088,Desktop,East,Organic,Fashion,2,Add to Cart,2025-10-30 05:12:02
SES00089,USR00089,Mobile,East,Google Ads,Home,2,Add to Cart,2025-10-16 11:10:31
SES00090,USR00090,Tablet,North,Email,Fashion,3,Checkout,2025-10-28 06:54:54
SES00091,USR00091,Desktop,East,Email,Home,2,Add to Cart,2025-10-12 15:30:36
SES00092,USR00092,Desktop,South,Google Ads,Home,2,Add to Cart,2025-10-15 02:28:29
SES00093,USR00093,Tablet,South,Social Media,Home,1,Browse,2025-10-11 16:37:03
SES00094,USR00094,Mobile,East,Google Ads,Electronics,2,Add to Cart,2025-10-13 01:06:18
SES00095,USR00095,Mobile,East,Google Ads,Beauty,3,Checkout,2025-10-08 17:05:04
SES00096,USR00096,Tablet,South,Organic,Fashion,2,Add to Cart,2025-10-20 16:29:51
SES00097,USR00097,Desktop,North,Email,Electronics,2,Add to Cart,2025-10-26 16:37:22
SES00098,USR00098,Tablet,East,Google Ads,Electronics,1,Browse,2025-10-24 21:26:32
SES00099,USR00099,Desktop,East,Email,Home,1,Browse,2025-10-23 00:07:56
SES00100,USR00100,Tablet,North,Organic,Home,2,Add to Cart,2025-10-31 13:55:19
SES00101,USR00101,Mobile,North,Organic,Home,3,Checkout,2025-10-16 04:11:54
SES00102,USR00102,Desktop,North,Email,Fashion,2,Add to Cart,2025-10-07 15:29:38
SES00103,USR00103,Desktop,East,Organic,Home,2,Add to Cart,2025-10-20 12:40:01
SES00104,USR00104,Desktop,East,Email,Home,1,Browse,2025-10-28 10:12:14
SES00105,USR00105,Tablet,East,Organic,Beauty,1,Browse,2025-10-06 20:45:07
SES00106,USR00106,Desktop,North,Google Ads,Sports,2,Add to Cart,2025-10-03 08:03:01
SES00107,USR00107,Desktop,East,Organic,Home,4,Purchase,2025-10-18 10:14:00
SES00108,USR00108,Desktop,West,Social Media,Beauty,1,Browse,2025-10-07 12:11:53
SES00109,USR00109,Mobile,East,Email,Beauty,1,Browse,2025-10-26 15:45:30
SES00110,USR00110,Mobile,North,Email,Fashion,2,Add to Cart,2025-10-03 10:42:16
SES00111,USR00111,Tablet,South,Organic,Electronics,1,Browse,2025-10-22 20:27:38
SES00112,USR00112,Mobile,East,Email,Fashion,3,Checkout,2025-10-10 00:24:10
SES00113,USR00113,Desktop,South,Organic,Fashion,2,Add to Cart,2025-10-30 06:54:52
SES00114,USR00114,Mobile,North,Email,Fashion,3,Checkout,2025-10-02 02:12:28
SES00115,USR00115,Tablet,South,Social Media,Beauty,2,Add to Cart,2025-10-09 17:56:46
SES00116,USR00116,Mobile,North,Google Ads,Electronics,2,Add to Cart,2025-10-03 23:26:28
SES00117,USR00117,Tablet,East,Google Ads,Beauty,1,Browse,2025-10-13 10:15:17
SES00118,USR00118,Tablet,South,Email,Beauty,2,Add to Cart,2025-10-21 01:41:46
SES00119,USR00119,Tablet,East,Email,Home,1,Browse,2025-10-24 13:33:36
SES00120,USR00120,Tablet,West,Google Ads,Beauty,1,Browse,2025-10-18 10:47:11
SES00121,USR00121,Tablet,West,Organic,Beauty,2,Add to Cart,2025-10-28 21:46:41
SES00122,USR00122,Mobile,North,Email,Fashion,3,Checkout,2025-10-05 04:21:17
SES00123,USR00123,Desktop,South,Organic,Sports,3,Checkout,2025-10-29 15:50:27
SES00124,USR00124,Mobile,South,Organic,Electronics,1,Browse,2025-10-24 12:15:18
SES00125,USR00125,Mobile,South,Email,Electronics,2,Add to Cart,2025-10-22 02:41:55
SES00126,USR00126,Desktop,North,Email,Electronics,2,Add to Cart,2025-10-06 13:51:05
SES00127,USR00127,Desktop,West,Email,Home,4,Purchase,2025-10-12 01:14:02
SES00128,USR00128,Tablet,North,Organic,Electronics,4,Purchase,2025-10-25 00:41:41
SES00129,USR00129,Desktop,West,Email,Fashion,4,Purchase,2025-10-07 23:09:34
SES00130,USR00130,Tablet,North,Email,Home,3,Checkout,2025-10-26 10:09:24
SES00131,USR00131,Tablet,West,Google Ads,Electronics,2,Add to Cart,2025-10-02 01:26:20
SES00132,USR00132,Desktop,North,Google Ads,Beauty,3,Checkout,2025-10-30 18:25:36
SES00133,USR00133,Tablet,East,Email,Electronics,3,Checkout,2025-10-06 13:38:21
SES00134,USR00134,Tablet,West,Email,Sports,2,Add to Cart,2025-10-24 21:25:48
SES00135,USR00135,Mobile,South,Google Ads,Sports,3,Checkout,2025-10-17 02:55:36
SES00136,USR00136,Tablet,South,Organic,Sports,4,Purchase,2025-10-03 07:28:32
SES00137,USR00137,Tablet,North,Google Ads,Home,1,Browse,2025-10-26 21:49:49
SES00138,USR00138,Desktop,North,Google Ads,Home,3,Checkout,2025-10-02 20:52:54
SES00139,USR00139,Desktop,North,Social Media,Beauty,3,Checkout,2025-10-19 06:11:43
SES00140,USR00140,Tablet,North,Organic,Sports,1,Browse,2025-10-23 18:36:22
SES00141,USR00141,Tablet,East,Organic,Sports,2,Add to Cart,2025-10-20 22:16:32
SES00142,USR00142,Tablet,North,Organic,Beauty,3,Checkout,2025-10-29 02:57:13
SES00143,USR00143,Desktop,North,Google Ads,Electronics,1,Browse,2025-10-11 06:52:10
SES00144,USR00144,Desktop,West,Organic,Home,1,Browse,2025-10-06 14:40:42
SES00145,USR00145,Desktop,East,Email,Beauty,3,Checkout,2025-10-12 16:40:54
SES00146,USR00146,Mobile,East,Social Media,Electronics,2,Add to Cart,2025-10-23 00:14:16
SES00147,USR00147,Mobile,East,Organic,Fashion,1,Browse,2025-10-07 09:38:04
SES00148,USR00148,Tablet,West,Google Ads,Sports,3,Checkout,2025-10-03 19:52:01
SES00149,USR00149,Desktop,North,Google Ads,Beauty,3,Checkout,2025-10-05 14:08:35
SES00150,USR00150,Tablet,North,Social Media,Beauty,3,Checkout,2025-10-03 05:11:45
SES00151,USR00151,Tablet,East,Google Ads,Home,3,Checkout,2025-10-31 10:48:56
SES00152,USR00152,Desktop,East,Google Ads,Electronics,3,Checkout,2025-10-16 13:39:40
SES00153,USR00153,Tablet,West,Social Media,Home,2,Add to Cart,2025-10-18 15:32:56
SES00154,USR00154,Desktop,South,Email,Beauty,4,Purchase,2025-10-25 10:29:37
SES00155,USR00155,Mobile,East,Email,Sports,3,Checkout,2025-10-04 11:00:44
SES00156,USR00156,Tablet,West,Email,Electronics,3,Checkout,2025-10-11 10:49:08
SES00157,USR00157,Desktop,West,Organic,Beauty,2,Add to Cart,2025-10-16 14:23:41
SES00158,USR00158,Tablet,East,Social Media,Sports,1,Browse,2025-10-08 17:42:56
SES00159,USR00159,Tablet,South,Email,Fashion,3,Checkout,2025-10-16 21:40:06
SES00160,USR00160,Tablet,North,Organic,Electronics,2,Add to Cart,2025-10-12 21:54:04
SES00161,USR00161,Tablet,North,Email,Sports,3,Checkout,2025-10-09 05:23:56
SES00162,USR00162,Mobile,East,Google Ads,Fashion,2,Add to Cart,2025-10-01 22:59:54
SES00163,USR00163,Tablet,West,Google Ads,Sports,2,Add to Cart,2025-10-20 23:50:02
SES00164,USR00164,Mobile,South,Email,Beauty,3,Checkout,2025-10-10 11:56:50
SES00165,USR00165,Tablet,East,Email,Sports,3,Checkout,2025-10-27 05:34:47
SES00166,USR00166,Desktop,South,Social Media,Fashion,2,Add to Cart,2025-10-04 13:05:10
SES00167,USR00167,Mobile,South,Google Ads,Fashion,1,Browse,2025-10-11 07:48:49
SES00168,USR00168,Mobile,East,Email,Sports,2,Add to Cart,2025-10-02 20:17:11
SES00169,USR00169,Tablet,North,Google Ads,Sports,1,Browse,2025-10-24 11:04:34
SES00170,USR00170,Desktop,East,Social Media,Sports,1,Browse,2025-10-30 05:52:40
SES00171,USR00171,Mobile,South,Google Ads,Home,2,Add to Cart,2025-10-30 21:03:18
SES00172,USR00172,Mobile,West,Social Media,Sports,2,Add to Cart,2025-10-05 10:30:14
SES00173,USR00173,Tablet,East,Organic,Home,4,Purchase,2025-10-26 02:19:17
SES00174,USR00174,Desktop,East,Social Media,Sports,3,Checkout,2025-10-15 13:07:06
SES00175,USR00175,Mobile,West,Organic,Sports,1,Browse,2025-10-07 15:59:53
SES00176,USR00176,Mobile,North,Organic,Beauty,2,Add to Cart,2025-10-15 10:31:30
SES00177,USR00177,Mobile,East,Social Media,Home,1,Browse,2025-10-21 19:32:34
SES00178,USR00178,Desktop,South,Social Media,Sports,2,Add to Cart,2025-10-21 01:51:16
SES00179,USR00179,Desktop,West,Organic,Electronics,1,Browse,2025-10-25 02:11:24
SES00180,USR00180,Desktop,South,Social Media,Fashion,3,Checkout,2025-10-27 01:34:18
SES00181,USR00181,Mobile,North,Email,Home,2,Add to Cart,2025-10-19 12:22:10
SES00182,USR00182,Mobile,West,Google Ads,Home,3,Checkout,2025-10-18 06:23:10
SES00183,USR00183,Mobile,East,Organic,Electronics,1,Browse,2025-10-04 08:14:47
SES00184,USR00184,Mobile,West,Email,Beauty,3,Checkout,2025-10-23 21:53:01
SES00185,USR00185,Mobile,East,Google Ads,Beauty,1,Browse,2025-10-06 02:54:00
SES00186,USR00186,Tablet,West,Organic,Electronics,1,Browse,2025-10-19 22:47:21
SES00187,USR00187,Mobile,East,Google Ads,Beauty,1,Browse,2025-10-17 19:24:48
SES00188,USR00188,Mobile,North,Organic,Sports,2,Add to Cart,2025-10-22 00:20:03
SES00189,USR00189,Desktop,East,Organic,Sports,2,Add to Cart,2025-10-07 10:08:51
SES00190,USR00190,Desktop,North,Organic,Fashion,1,Browse,2025-10-25 01:20:11
SES00191,USR00191,Mobile,East,Email,Fashion,4,Purchase,2025-10-16 15:51:08
SES00192,USR00192,Desktop,North,Organic,Home,1,Browse,2025-10-15 05:55:38
SES00193,USR00193,Desktop,East,Google Ads,Beauty,2,Add to Cart,2025-10-23 00:56:11
SES00194,USR00194,Mobile,South,Email,Electronics,2,Add to Cart,2025-10-12 15:57:58
SES00195,USR00195,Tablet,South,Social Media,Home,2,Add to Cart,2025-10-12 20:00:30
SES00196,USR00196,Tablet,West,Email,Beauty,1,Browse,2025-10-08 03:22:51
SES00197,USR00197,Desktop,East,Google Ads,Fashion,4,Purchase,2025-10-14 10:19:08
SES00198,USR00198,Desktop,South,Google Ads,Fashion,1,Browse,2025-10-30 13:49:15
SES00199,USR00199,Tablet,North,Organic,Sports,1,Browse,2025-10-06 08:23:38
SES00200,USR00200,Tablet,West,Social Media,Sports,2,Add to Cart,2025-10-30 08:21:24
SES00201,USR00201,Tablet,South,Google Ads,Sports,4,Purchase,2025-10-02 09:45:56
SES00202,USR00202,Tablet,East,Email,Sports,2,Add to Cart,2025-10-09 20:49:23
SES00203,USR00203,Tablet,North,Google Ads,Sports,2,Add to Cart,2025-10-05 10:41:23
SES00204,USR00204,Mobile,South,Email,Sports,3,Checkout,2025-10-11 16:21:23
SES00205,USR00205,Desktop,North,Organic,Sports,3,Checkout,2025-10-18 20:46:38
SES00206,USR00206,Desktop,West,Organic,Electronics,1,Browse,2025-10-12 03:07:08
SES00207,USR00207,Mobile,East,Organic,Beauty,1,Browse,2025-10-05 08:31:01
SES00208,USR00208,Mobile,South,Social Media,Home,2,Add to Cart,2025-10-19 06:15:53
SES00209,USR00209,Tablet,South,Google Ads,Electronics,4,Purchase,2025-10-24 07:16:55
SES00210,USR00210,Mobile,West,Social Media,Sports,2,Add to Cart,2025-10-27 11:17:08
SES00211,USR00211,Tablet,West,Organic,Home,4,Purchase,2025-10-27 03:52:14
SES00212,USR00212,Mobile,West,Google Ads,Home,1,Browse,2025-10-29 00:48:39
SES00213,USR00213,Mobile,North,Social Media,Beauty,1,Browse,2025-10-02 21:51:11
SES00214,USR00214,Desktop,South,Google Ads,Fashion,1,Browse,2025-10-25 12:46:14
SES00215,USR00215,Desktop,East,Social Media,Beauty,4,Purchase,2025-10-26 23:21:42
SES00216,USR00216,Desktop,East,Social Media,Home,1,Browse,2025-10-10 09:33:20
SES00217,USR00217,Desktop,South,Social Media,Sports,1,Browse,2025-10-27 02:57:34
SES00218,USR00218,Mobile,West,Email,Home,4,Purchase,2025-10-22 12:02:22
SES00219,USR00219,Mobile,South,Organic,Beauty,4,Purchase,2025-10-25 08:26:04
SES00220,USR00220,Tablet,East,Email,Home,1,Browse,2025-10-28 21:18:49
SES00221,USR00221,Tablet,South,Google Ads,Fashion,3,Checkout,2025-10-31 17:03:27
SES00222,USR00222,Desktop,North,Google Ads,Sports,1,Browse,2025-10-11 02:33:10
SES00223,USR00223,Desktop,East,Email,Beauty,1,Browse,2025-10-31 18:56:52
SES00224,USR00224,Desktop,South,Social Media,Fashion,3,Checkout,2025-10-12 02:49:55
SES00225,USR00225,Desktop,North,Social Media,Home,2,Add to Cart,2025-10-23 06:26:39
SES00226,USR00226,Tablet,North,Email,Fashion,2,Add to Cart,2025-10-25 17:23:16
SES00227,USR00227,Tablet,West,Organic,Sports,2,Add to Cart,2025-10-11 03:02:58
SES00228,USR00228,Tablet,North,Google Ads,Home,2,Add to Cart,2025-10-12 13:26:41
SES00229,USR00229,Tablet,West,Organic,Home,2,Add to Cart,2025-10-18 18:36:51
SES00230,USR00230,Tablet,East,Email,Home,3,Checkout,2025-10-20 10:21:24
SES00231,USR00231,Mobile,East,Google Ads,Home,3,Checkout,2025-10-30 12:48:23
SES00232,USR00232,Desktop,South,Organic,Home,2,Add to Cart,2025-10-20 07:32:13
SES00233,USR00233,Desktop,North,Google Ads,Sports,2,Add to Cart,2025-10-12 20:22:05
SES00234,USR00234,Tablet,North,Email,Home,3,Checkout,2025-10-19 23:41:38
SES00235,USR00235,Mobile,East,Social Media,Electronics,2,Add to Cart,2025-10-04 08:39:55
SES00236,USR00236,Desktop,South,Email,Electronics,4,Purchase,2025-10-12 10:43:40
SES00237,USR00237,Mobile,West,Google Ads,Home,4,Purchase,2025-10-24 21:31:55
SES00238,USR00238,Tablet,West,Email,Fashion,3,Checkout,2025-10-09 10:01:06
SES00239,USR00239,Mobile,South,Social Media,Electronics,3,Checkout,2025-10-29 03:38:57
SES00240,USR00240,Desktop,East,Google Ads,Fashion,1,Browse,2025-10-12 08:00:05
SES00241,USR00241,Tablet,West,Google Ads,Fashion,2,Add to Cart,2025-10-27 18:32:15
SES00242,USR00242,Mobile,East,Organic,Beauty,1,Browse,2025-10-19 22:18:58
SES00243,USR00243,Mobile,East,Email,Beauty,1,Browse,2025-10-20 23:25:00
SES00244,USR00244,Tablet,West,Social Media,Beauty,1,Browse,2025-10-02 12:48:33
SES00245,USR00245,Tablet,North,Email,Home,3,Checkout,2025-10-14 20:29:41
SES00246,USR00246,Tablet,East,Email,Fashion,1,Browse,2025-10-19 00:23:11
SES00247,USR00247,Tablet,East,Organic,Beauty,2,Add to Cart,2025-10-04 00:53:18
SES00248,USR00248,Mobile,West,Social Media,Electronics,2,Add to Cart,2025-10-18 13:15:55
SES00249,USR00249,Tablet,North,Social Media,Home,3,Checkout,2025-10-28 02:42:20
SES00250,USR00250,Mobile,East,Google Ads,Sports,3,Checkout,2025-10-22 14:01:45
SES00251,USR00251,Mobile,West,Google Ads,Electronics,1,Browse,2025-10-11 05:06:27
SES00252,USR00252,Tablet,East,Organic,Fashion,1,Browse,2025-10-02 17:55:04
SES00253,USR00253,Desktop,West,Google Ads,Beauty,3,Checkout,2025-10-16 23:56:59
SES00254,USR00254,Tablet,West,Email,Fashion,2,Add to Cart,2025-10-04 12:28:26
SES00255,USR00255,Desktop,East,Email,Fashion,3,Checkout,2025-10-23 10:42:56
SES00256,USR00256,Tablet,East,Social Media,Fashion,1,Browse,2025-10-24 09:46:53
SES00257,USR00257,Desktop,West,Organic,Electronics,2,Add to Cart,2025-10-18 09:20:02
SES00258,USR00258,Desktop,North,Social Media,Home,3,Checkout,2025-10-13 15:35:06
SES00259,USR00259,Tablet,West,Organic,Sports,1,Browse,2025-10-29 19:14:24
SES00260,USR00260,Desktop,South,Google Ads,Fashion,2,Add to Cart,2025-10-11 19:42:30
SES00261,USR00261,Desktop,North,Organic,Home,4,Purchase,2025-10-02 00:29:06
SES00262,USR00262,Tablet,North,Social Media,Home,2,Add to Cart,2025-10-06 21:26:58
SES00263,USR00263,Tablet,South,Organic,Home,4,Purchase,2025-10-08 07:09:13
SES00264,USR00264,Tablet,West,Google Ads,Sports,2,Add to Cart,2025-10-20 02:10:37
SES00265,USR00265,Desktop,North,Google Ads,Sports,2,Add to Cart,2025-10-17 17:10:48
SES00266,USR00266,Desktop,North,Organic,Fashion,3,Checkout,2025-10-30 21:39:15
SES00267,USR00267,Tablet,North,Google Ads,Fashion,4,Purchase,2025-10-03 19:52:59
SES00268,USR00268,Desktop,East,Google Ads,Sports,2,Add to Cart,2025-10-20 13:18:22
SES00269,USR00269,Mobile,North,Social Media,Home,2,Add to Cart,2025-10-17 00:01:41
SES00270,USR00270,Tablet,North,Google Ads,Beauty,3,Checkout,2025-10-07 13:08:21
SES00271,USR00271,Tablet,North,Social Media,Sports,2,Add to Cart,2025-10-27 04:23:18
SES00272,USR00272,Mobile,North,Social Media,Sports,3,Checkout,2025-10-26 09:35:18
SES00273,USR00273,Mobile,East,Email,Home,2,Add to Cart,2025-10-10 10:21:35
SES00274,USR00274,Tablet,North,Social Media,Beauty,2,Add to Cart,2025-10-12 03:54:32
SES00275,USR00275,Mobile,North,Google Ads,Home,2,Add to Cart,2025-10-18 12:23:41
SES00276,USR00276,Mobile,East,Organic,Home,3,Checkout,2025-10-26 13:39:23
SES00277,USR00277,Desktop,West,Google Ads,Beauty,2,Add to Cart,2025-10-19 00:54:46
SES00278,USR00278,Mobile,North,Google Ads,Home,3,Checkout,2025-10-07 08:48:22
SES00279,USR00279,Mobile,South,Organic,Beauty,3,Checkout,2025-10-01 23:59:26
SES00280,USR00280,Tablet,West,Organic,Home,1,Browse,2025-10-29 21:58:38
SES00281,USR00281,Mobile,West,Email,Sports,3,Checkout,2025-10-09 17:56:39
SES00282,USR00282,Desktop,East,Social Media,Fashion,3,Checkout,2025-10-07 00:20:40
SES00283,USR00283,Tablet,South,Organic,Sports,1,Browse,2025-10-22 04:46:36
SES00284,USR00284,Mobile,North,Organic,Home,2,Add to Cart,2025-10-04 00:29:29
SES00285,USR00285,Tablet,East,Google Ads,Home,2,Add to Cart,2025-10-06 00:32:43
SES00286,USR00286,Tablet,South,Google Ads,Electronics,2,Add to Cart,2025-10-18 02:13:43
SES00287,USR00287,Mobile,West,Organic,Beauty,3,Checkout,2025-10-16 15:19:11
SES00288,USR00288,Desktop,North,Organic,Home,2,Add to Cart,2025-10-28 08:45:14
SES00289,USR00289,Desktop,North,Social Media,Home,3,Checkout,2025-10-26 15:49:45
SES00290,USR00290,Tablet,South,Social Media,Fashion,3,Checkout,2025-10-24 03:08:56
SES00291,USR00291,Desktop,North,Organic,Fashion,3,Checkout,2025-10-28 16:57:09
SES00292,USR00292,Tablet,West,Email,Electronics,2,Add to Cart,2025-10-27 13:33:26
SES00293,USR00293,Desktop,East,Google Ads,Sports,2,Add to Cart,2025-10-10 05:09:18
SES00294,USR00294,Tablet,East,Email,Electronics,4,Purchase,2025-10-04 04:34:46
SES00295,USR00295,Mobile,South,Google Ads,Fashion,3,Checkout,2025-10-17 21:57:40
SES00296,USR00296,Tablet,East,Social Media,Electronics,1,Browse,2025-10-11 15:57:07
SES00297,USR00297,Desktop,North,Social Media,Sports,3,Checkout,2025-10-31 17:26:44
SES00298,USR00298,Tablet,South,Social Media,Fashion,2,Add to Cart,2025-10-21 10:23:48
SES00299,USR00299,Mobile,East,Google Ads,Sports,4,Purchase,2025-10-06 17:52:23
SES00300,USR00300,Mobile,East,Social Media,Beauty,2,Add to Cart,2025-10-09 23:45:28
